epoch;rand_init;layer;I(X,T);I(Y,T);valid_auc;train_auc;valid_loss;train_loss;mean_weight_layer;std_weight_layer;mean_bias_layer;std_bias_layer
0;1;1;1.9475090556910732;0.15861310851501642;0.41545894742012024;0.3980264663696289;0.7009705305099487;0.713442862033844;0.0657869502902031;0.35587653517723083;-0.3339494466781616;0.22626306116580963
0;1;2;1.195432802316632;0.0907641020199148;0.41545894742012024;0.3980264663696289;0.7009705305099487;0.713442862033844;0.1323409527540207;0.28617140650749207;-0.37206411361694336;0.07464124262332916
1;1;1;1.9475090556910732;0.15861310851501642;0.4162640869617462;0.398345023393631;0.7003635764122009;0.7123715877532959;0.0656704232096672;0.3554236888885498;-0.33381515741348267;0.2264222651720047
1;1;2;1.1959609641833273;0.09140099356733344;0.4162640869617462;0.398345023393631;0.7003635764122009;0.7123715877532959;0.13109879195690155;0.2862069606781006;-0.36109331250190735;0.09015627950429916
2;1;1;1.9484104423439135;0.1593375112444777;0.41747182607650757;0.3995327949523926;0.6993018984794617;0.7104451060295105;0.0655103549361229;0.3547877073287964;-0.33363208174705505;0.22663462162017822
2;1;2;1.193737132188927;0.08957278895842258;0.41747182607650757;0.3995327949523926;0.6993018984794617;0.7104451060295105;0.12931208312511444;0.2863055169582367;-0.34591299295425415;0.11162447184324265
3;1;1;1.9411452858223157;0.1591621000472978;0.45974236726760864;0.4444005489349365;0.697982668876648;0.707933247089386;0.06531859934329987;0.3539997935295105;-0.3334159553050995;0.2268756926059723
3;1;2;1.1778736981088063;0.08873326720916586;0.45974236726760864;0.4444005489349365;0.697982668876648;0.707933247089386;0.1270189732313156;0.2865141034126282;-0.3274601399898529;0.1377207636833191
4;1;1;1.9425062040242054;0.1591621000472978;0.46014493703842163;0.4460722804069519;0.6966070532798767;0.7051151990890503;0.065109483897686;0.35309407114982605;-0.333181768655777;0.2271202951669693
4;1;2;1.1986277679928907;0.09335237645947059;0.46014493703842163;0.4460722804069519;0.6966070532798767;0.7051151990890503;0.12425071001052856;0.28688886761665344;-0.30668866634368896;0.16709604859352112
5;1;1;1.9425062040242054;0.1591621000472978;0.47141706943511963;0.44889724254608154;0.6953458786010742;0.7022421956062317;0.0648975521326065;0.3521098792552948;-0.3329363763332367;0.22735218703746796
