epoch,rand_init,layer,T,Y
0,1,1,4.569569217652189,0.840216731004011
0,1,2,2.076562552903856,0.34390922858277184
1,1,1,4.567759105358646,0.84066160667928
1,1,2,2.075941058481779,0.3411171504450419
2,1,1,4.560838744944858,0.8410894363660111
2,1,2,2.0670130509929106,0.3357856034704594
3,1,1,4.558318955800972,0.8432632226989387
3,1,2,2.058505970366335,0.3315177564473779
4,1,1,4.5481688461205145,0.8430174353364874
4,1,2,2.037301507278242,0.32460498933107473
5,1,1,4.546784016075455,0.8471376752843147
5,1,2,2.0285628014869523,0.31519769122096175
6,1,1,4.550880754146631,0.8463892526984278
6,1,2,2.0275688226702933,0.30448201230913696
7,1,1,4.520560492611045,0.8487371625810214
7,1,2,1.9977073608064355,0.2959109045017829
8,1,1,4.508768448688392,0.8498080571175333
8,1,2,1.9927099574489233,0.29107042152901696
9,1,1,4.487529208776926,0.8446712175700082
9,1,2,1.9818559459646696,0.28731523613071586
0,2,1,3.061613752180911,0.5316521406412704
0,2,2,1.8966790872777288,0.36028997951298214
1,2,1,3.0602851642934317,0.5319502011157597
1,2,2,1.8948734735479604,0.3621220563115335
2,2,1,3.0633436189234224,0.5347814873799699
2,2,2,1.8970490741618233,0.36511665889563716
3,2,1,3.065856939747462,0.5340598429102918
3,2,2,1.8794177096063933,0.3744880128088184
4,2,1,3.061831927760143,0.5336163936929132
4,2,2,1.8725377351928936,0.3817657039255278
5,2,1,3.0652662422528723,0.5338277204999065
5,2,2,1.8457114900244243,0.3824434713317202
6,2,1,3.0620206480613597,0.5370440923827573
6,2,2,1.8219905806593664,0.3736237146878363
7,2,1,3.053993665504647,0.533544521651649
7,2,2,1.7818890242702148,0.37781807405366763
8,2,1,3.0570143742073013,0.5313445263125729
8,2,2,1.7129331007801678,0.36948487550756504
9,2,1,3.0393880156205686,0.530885794082856
9,2,2,1.7293217444584519,0.3379090770615121
0,3,1,4.3671753699209805,0.7597114960971529
0,3,2,2.105461667161533,0.3367661585539796
1,3,1,4.368592779584462,0.7593166349002205
1,3,2,2.108837855698029,0.3355453764252174
2,3,1,4.367182053741465,0.7590190243736332
2,3,2,2.111642475909145,0.326071493520538
3,3,1,4.363318078073284,0.7618347964954673
3,3,2,2.085305752557751,0.32346511365161845
4,3,1,4.354398993390735,0.7586606159603715
4,3,2,2.100240477280117,0.32205196575677464
5,3,1,4.357107512586042,0.7564949202249913
5,3,2,2.103941369636132,0.3152874737112721
6,3,1,4.358325790876663,0.7528712686133101
6,3,2,2.097791336329223,0.30344066677123926
7,3,1,4.36267524702013,0.7495037840451282
7,3,2,2.0913513269143174,0.2978364337536359
8,3,1,4.37034130879352,0.7516475727465428
8,3,2,2.079570512259952,0.30754192812242254
9,3,1,4.373692005124937,0.7459732463795223
9,3,2,2.0619673820104625,0.295877011228423
