epoch;rand_init;layer;I(X,T);I(Y,T);valid_auc;train_auc;valid_loss;train_loss;mean_weight_layer;std_weight_layer;mean_bias_layer;std_bias_layer
0;1;1;3.1002207170739915;0.5855927845947191;0.7602657079696655;0.7856324315071106;0.673365592956543;0.6796489953994751;0.06618674844503403;0.3573278784751892;-0.33282795548439026;0.22770105302333832
0;1;2;3.222236844703021;0.5787689567030512;0.7602657079696655;0.7856324315071106;0.673365592956543;0.6796489953994751;0.10151407867670059;0.3020453453063965;0.1331717073917389;0.18131670355796814
0;1;3;1.9494209993027285;0.4718915800714609;0.7602657079696655;0.7856324315071106;0.673365592956543;0.6796489953994751;-0.15972113609313965;0.3191024959087372;0.05112967640161514;0.3342662751674652
1;1;1;3.105503145100519;0.5849441626131595;0.7626811861991882;0.7882944345474243;0.671655535697937;0.6774190664291382;0.06683847308158875;0.3596798777580261;-0.3305068910121918;0.23070822656154633
1;1;2;3.2554146372841757;0.5872336043271327;0.7626811861991882;0.7882944345474243;0.671655535697937;0.6774190664291382;0.1021803542971611;0.3030371367931366;0.13571001589298248;0.17676980793476105
1;1;3;1.636240264295724;0.4234830852883831;0.7626811861991882;0.7882944345474243;0.671655535697937;0.6774190664291382;-0.1614902913570404;0.3205738365650177;0.059375278651714325;0.3226052224636078
2;1;1;3.1299655663881776;0.5951816419883942;0.7816022634506226;0.7972086668014526;0.6682860255241394;0.6731286644935608;0.06777381151914597;0.3631584942340851;-0.3270780146121979;0.23526188731193542
2;1;2;3.2928662222644576;0.5985186153083646;0.7816022634506226;0.7972086668014526;0.6682860255241394;0.6731286644935608;0.10315044224262238;0.30458298325538635;0.13930726051330566;0.17091913521289825
2;1;3;1.6333801398176515;0.43179474979770793;0.7816022634506226;0.7972086668014526;0.6682860255241394;0.6731286644935608;-0.16420239210128784;0.3228543698787689;0.07079488039016724;0.30645546317100525
3;1;1;3.1588066768519774;0.5990289566122184;0.7928743362426758;0.8077477216720581;0.6631532907485962;0.6668286323547363;0.06899548321962357;0.3677988648414612;-0.3225186765193939;0.24150119721889496
3;1;2;3.358906890384578;0.6292623919405278;0.7928743362426758;0.8077477216720581;0.6631532907485962;0.6668286323547363;0.10442180931568146;0.3067798316478729;0.14383728802204132;0.16459371149539948
3;1;3;1.6151486808919469;0.4430530828637287;0.7928743362426758;0.8077477216720581;0.6631532907485962;0.6668286323547363;-0.1679709404706955;0.32608693838119507;0.08473140001296997;0.2867462635040283
4;1;1;3.177128960850734;0.6065041698219291;0.8299114108085632;0.8050661087036133;0.6559808254241943;0.6584396958351135;0.0705406442284584;0.3736838698387146;-0.31673187017440796;0.24969547986984253
4;1;2;3.3659551176075304;0.6372612906808914;0.8299114108085632;0.8050661087036133;0.6559808254241943;0.6584396958351135;0.10600544512271881;0.3097638189792633;0.149213969707489;0.15866771340370178
4;1;3;1.6296257377939716;0.46270708383678416;0.8299114108085632;0.8050661087036133;0.6559808254241943;0.6584396958351135;-0.17294028401374817;0.33048808574676514;0.10057883709669113;0.2643345892429352
5;1;1;3.2011812099389685;0.6020619555466995;0.8832527995109558;0.8501017689704895;0.6464492082595825;0.6476560235023499;0.07243844121694565;0.38093382120132446;-0.30964288115501404;0.2600972056388855
5;1;2;3.432962716454883;0.6404673900126356;0.8832527995109558;0.8501017689704895;0.6464492082595825;0.6476560235023499;0.10792233794927597;0.3137047290802002;0.15528473258018494;0.1542111337184906
5;1;3;1.6760551029701425;0.45975373762663496;0.8832527995109558;0.8501017689704895;0.6464492082595825;0.6476560235023499;-0.1792629063129425;0.3363582491874695;0.11784715950489044;0.23991349339485168
6;1;1;3.270417995442509;0.6139524730378021;0.9033816456794739;0.9056221842765808;0.6339823603630066;0.6341502666473389;0.07471778988838196;0.38968873023986816;-0.30119749903678894;0.27296990156173706
6;1;2;3.5160112769249734;0.6440083677730364;0.9033816456794739;0.9056221842765808;0.6339823603630066;0.6341502666473389;0.11020117998123169;0.3188003897666931;0.161788210272789;0.1524467170238495
6;1;3;1.7347540098283982;0.46131033358895834;0.9033816456794739;0.9056221842765808;0.6339823603630066;0.6341502666473389;-0.1870657354593277;0.3440818786621094;0.1362219899892807;0.21392756700515747
7;1;1;3.322586154559011;0.6310756869817702;0.9243155717849731;0.9127141237258911;0.6185897588729858;0.6182760000228882;0.07740908116102219;0.400104820728302;-0.29133111238479614;0.28859883546829224
7;1;2;3.526801099114559;0.6585416039047454;0.9243155717849731;0.9127141237258911;0.6185897588729858;0.6182760000228882;0.11287813633680344;0.3252663314342499;0.16661617159843445;0.15633894503116608
7;1;3;1.8164563474128244;0.48097957586494644;0.9243155717849731;0.9127141237258911;0.6185897588729858;0.6182760000228882;-0.1963730752468109;0.35408687591552734;0.15564875304698944;0.18645396828651428
8;1;1;3.3961720747926805;0.6466014480223761;0.9255233407020569;0.9140722155570984;0.5994741916656494;0.5990293025970459;0.08060123026371002;0.41231122612953186;-0.27993202209472656;0.30731552839279175
8;1;2;3.635473493462645;0.6867207080370372;0.9255233407020569;0.9140722155570984;0.5994741916656494;0.5990293025970459;0.1159888505935669;0.33331331610679626;0.16972464323043823;0.1652263104915619
8;1;3;1.8399878371372242;0.4887350356610489;0.9255233407020569;0.9140722155570984;0.5994741916656494;0.5990293025970459;-0.20711739361286163;0.36681678891181946;0.1762874275445938;0.15726648271083832
9;1;1;3.393222763255568;0.6540329078630363;0.9247181415557861;0.916348934173584;0.5754441618919373;0.5751932263374329;0.08438576757907867;0.42636555433273315;-0.2669684886932373;0.3292945325374603
9;1;2;3.496776219065916;0.6571686795386107;0.9247181415557861;0.916348934173584;0.5754441618919373;0.5751932263374329;0.11955424398183823;0.34310483932495117;0.17093613743782043;0.17863748967647552
9;1;3;1.8867683273865765;0.48119540804995964;0.9247181415557861;0.916348934173584;0.5754441618919373;0.5751932263374329;-0.21913215517997742;0.38268476724624634;0.19850848615169525;0.1258411556482315
10;1;1;3.4695304261350524;0.6555469609186471;0.9174718260765076;0.9144623279571533;0.5476316809654236;0.5473989248275757;0.08887448161840439;0.44217270612716675;-0.2524683475494385;0.354538232088089
10;1;2;3.529954579947841;0.6859584410144333;0.9174718260765076;0.9144623279571533;0.5476316809654236;0.5473989248275757;0.12356183677911758;0.3546954393386841;0.17247045040130615;0.19292107224464417
10;1;3;1.9231104972517876;0.502948103239591;0.9174718260765076;0.9144623279571533;0.5476316809654236;0.5473989248275757;-0.23207730054855347;0.40194374322891235;0.22292523086071014;0.09131066501140594
11;1;1;3.5765167193420426;0.6537343175133898;0.9007649421691895;0.9126745462417603;0.5159029960632324;0.5165953040122986;0.09409958869218826;0.45942530035972595;-0.23675572872161865;0.38247206807136536
11;1;2;3.577886181570541;0.6942920112879625;0.9007649421691895;0.9126745462417603;0.5159029960632324;0.5165953040122986;0.12793561816215515;0.36793455481529236;0.1736954301595688;0.20867647230625153
