epoch;rand_init;layer;I(X,T);I(Y,T);valid_auc;train_auc;valid_loss;train_loss;mean_weight_layer;std_weight_layer;mean_bias_layer;std_bias_layer
0;1;1;4.352971949786124;0.2555048269612925;0.41545894742012024;0.3980264663696289;0.7009705305099487;0.713442862033844;0.0657869502902031;0.35587653517723083;-0.3339494466781616;0.22626306116580963
0;1;2;0.928562240913978;0.08123409121644798;0.41545894742012024;0.3980264663696289;0.7009705305099487;0.713442862033844;0.1323409527540207;0.28617140650749207;-0.37206411361694336;0.07464124262332916
1;1;1;4.353643501478093;0.25548429486927304;0.4162640869617462;0.398345023393631;0.7003635764122009;0.7123715877532959;0.0656704232096672;0.3554236888885498;-0.33381515741348267;0.2264222651720047
1;1;2;0.9103537981337224;0.0802124140616165;0.4162640869617462;0.398345023393631;0.7003635764122009;0.7123715877532959;0.13109879195690155;0.2862069606781006;-0.36109331250190735;0.09015627950429916
2;1;1;4.354837036703806;0.2554507575122926;0.41747182607650757;0.3995327949523926;0.6993018984794617;0.7104451060295105;0.0655103549361229;0.3547877073287964;-0.33363208174705505;0.22663462162017822
2;1;2;0.8742207725060993;0.07800660901495604;0.41747182607650757;0.3995327949523926;0.6993018984794617;0.7104451060295105;0.12931208312511444;0.2863055169582367;-0.34591299295425415;0.11162447184324265
3;1;1;4.356424963798812;0.2554199642937611;0.45974236726760864;0.4444005489349365;0.697982668876648;0.707933247089386;0.06531859934329987;0.3539997935295105;-0.3334159553050995;0.2268756926059723
3;1;2;0.8189914607901869;0.07414680100794513;0.45974236726760864;0.4444005489349365;0.697982668876648;0.707933247089386;0.1270189732313156;0.2865141034126282;-0.3274601399898529;0.1377207636833191
4;1;1;4.3581915989958375;0.2554084878950391;0.46014493703842163;0.4460722804069519;0.6966070532798767;0.7051151990890503;0.065109483897686;0.35309407114982605;-0.333181768655777;0.2271202951669693
4;1;2;0.7419875889483087;0.06774772006466812;0.46014493703842163;0.4460722804069519;0.6966070532798767;0.7051151990890503;0.12425071001052856;0.28688886761665344;-0.30668866634368896;0.16709604859352112
5;1;1;4.36000133788734;0.25543051495518654;0.47141706943511963;0.44889724254608154;0.6953458786010742;0.7022421956062317;0.0648975521326065;0.3521098792552948;-0.3329363763332367;0.22735218703746796
5;1;2;0.6390364046285475;0.05748509250233802;0.47141706943511963;0.44889724254608154;0.6953458786010742;0.7022421956062317;0.12103364616632462;0.28749340772628784;-0.2845340669155121;0.19842740893363953
6;1;1;4.361907940334088;0.25549995773304346;0.47826090455055237;0.4558088779449463;0.6943163275718689;0.6995100975036621;0.0647001564502716;0.35109126567840576;-0.332680881023407;0.227561354637146
6;1;2;0.5056207869638145;0.042202623104452996;0.47826090455055237;0.4558088779449463;0.6943163275718689;0.6995100975036621;0.11739098280668259;0.2883966565132141;-0.2618812918663025;0.23046326637268066
7;1;1;4.364126024555031;0.2556257183201893;0.4673912823200226;0.4643280804157257;0.6935684084892273;0.6970449686050415;0.06453412771224976;0.35008883476257324;-0.33240556716918945;0.2277507185935974
7;1;2;0.3430973115255451;0.023146191052921594;0.4673912823200226;0.4643280804157257;0.6935684084892273;0.6970449686050415;0.11334427446126938;0.2896709740161896;-0.23953735828399658;0.2620623707771301
8;1;1;4.367096980314415;0.2558211457238748;0.4617552161216736;0.47617343068122864;0.6930874586105347;0.6949003338813782;0.06441723555326462;0.3491579592227936;-0.3320936858654022;0.22793258726596832
8;1;2;0.17587732563685154;0.0068025660111015185;0.4617552161216736;0.47617343068122864;0.6930874586105347;0.6949003338813782;0.10891465097665787;0.2913895845413208;-0.21820896863937378;0.29222527146339417
9;1;1;4.371402902781352;0.25610062243789145;0.5237520337104797;0.5381560921669006;0.6928016543388367;0.693065345287323;0.0643683448433876;0.348359614610672;-0.3317166268825531;0.22813323140144348
9;1;2;0.06627428569452398;0.0006516630185657846;0.5237520337104797;0.5381560921669006;0.6928016543388367;0.693065345287323;0.10412361472845078;0.29362359642982483;-0.19848600029945374;0.3201177418231964
10;1;1;4.377934699359201;0.2565004447502055;0.6010466814041138;0.6333117485046387;0.6926005482673645;0.6914801001548767;0.06440561264753342;0.3477569818496704;-0.33124256134033203;0.22838619351387024
10;1;2;0.08913760959861872;0.008783044205515012;0.6010466814041138;0.6333117485046387;0.6926005482673645;0.6914801001548767;0.09899359196424484;0.29643890261650085;-0.18083107471466064;0.34508559107780457
11;1;1;4.387701649732758;0.25706045695292445;0.6217793822288513;0.6370997428894043;0.692353367805481;0.6900548338890076;0.0645483061671257;0.3474159240722656;-0.33063048124313354;0.22873491048812866
11;1;2;0.25656547861164203;0.030656026570589745;0.6217793822288513;0.6370997428894043;0.692353367805481;0.6900548338890076;0.09354815632104874;0.29989293217658997;-0.16557472944259644;0.36666131019592285
12;1;1;4.401771255862101;0.25780414309822675;0.625402569770813;0.6331907510757446;0.6919279098510742;0.6886879801750183;0.06481519341468811;0.3474011719226837;-0.329838365316391;0.22922635078430176
12;1;2;0.49421159124506353;0.05891202544997043;0.625402569770813;0.6331907510757446;0.6919279098510742;0.6886879801750183;0.08781207352876663;0.3040317893028259;-0.1529163122177124;0.38456302881240845
13;1;1;4.421586600737022;0.25887198990222515;0.625402569770813;0.6306942701339722;0.6912111639976501;0.6872838139533997;0.06522434949874878;0.34777459502220154;-0.32882457971572876;0.2299087643623352
13;1;2;0.7257300883204065;0.08026935430508253;0.625402569770813;0.6306942701339722;0.6912111639976501;0.6872838139533997;0.08181112259626389;0.3088877499103546;-0.14292916655540466;0.3986869752407074
14;1;1;4.448893833173358;0.2605420362836064;0.6203703880310059;0.628876805305481;0.69012051820755;0.6857646107673645;0.06579264253377914;0.3485933244228363;-0.3275507986545563;0.23082660138607025
14;1;2;0.9302009750282263;0.09080005622976195;0.6203703880310059;0.628876805305481;0.69012051820755;0.6857646107673645;0.07557182759046555;0.31447792053222656;-0.13557004928588867;0.40909433364868164
15;1;1;4.483882031896496;0.2631146535843385;0.614935576915741;0.6276125907897949;0.6886096000671387;0.6840789914131165;0.06653374433517456;0.34990569949150085;-0.32598885893821716;0.23201757669448853
15;1;2;1.1128346770983306;0.09527393962356001;0.614935576915741;0.6276125907897949;0.6886096000671387;0.6840789914131165;0.06912138313055038;0.3208031952381134;-0.13069146871566772;0.41599369049072266
16;1;1;4.5271907553010635;0.26630220958975315;0.6090982556343079;0.6255753636360168;0.6866691708564758;0.6822059154510498;0.06745802611112595;0.35174715518951416;-0.32413312792778015;0.2334986925125122
16;1;2;1.2790053344317958;0.09725947236696975;0.6090982556343079;0.6255753636360168;0.6866691708564758;0.6822059154510498;0.06248762831091881;0.3278483748435974;-0.12805631756782532;0.4197203516960144
17;1;1;4.582835310571895;0.2699710974907106;0.6082931160926819;0.625081479549408;0.6843308806419373;0.6801518201828003;0.06858034431934357;0.35414645075798035;-0.3219757080078125;0.23527872562408447
17;1;2;1.432485360728827;0.09834999218785612;0.6082931160926819;0.625081479549408;0.6843308806419373;0.6801518201828003;0.05569902062416077;0.33558276295661926;-0.12735417485237122;0.42071333527565
18;1;1;4.654917892035183;0.2740764112607259;0.6078905463218689;0.6231752038002014;0.6816428899765015;0.6779458522796631;0.06989552825689316;0.3571130335330963;-0.3195602595806122;0.23732110857963562
18;1;2;1.5765921086982368;0.09918278551181103;0.6078905463218689;0.6231752038002014;0.6816428899765015;0.6779458522796631;0.04878463223576546;0.34396129846572876;-0.12821832299232483;0.4194912612438202
19;1;1;4.738305801626257;0.27906156758940526;0.6074879765510559;0.6209231615066528;0.6786826848983765;0.6756454706192017;0.07139969617128372;0.360638290643692;-0.31696173548698425;0.23955702781677246
19;1;2;1.7141725332383633;0.09990523987745092;0.6074879765510559;0.6209231615066528;0.6786826848983765;0.6756454706192017;0.04177483543753624;0.35292574763298035;-0.1302441954612732;0.4166262149810791
20;1;1;4.826868419506312;0.28578151986429745;0.6062802076339722;0.6203008890151978;0.6755319237709045;0.673313558101654;0.07308779656887054;0.36470508575439453;-0.31423893570899963;0.2419327050447464
20;1;2;1.8469990775900031;0.10053884679805947;0.6062802076339722;0.6203008890151978;0.6755319237709045;0.673313558101654;0.03470146656036377;0.3624062240123749;-0.1330077052116394;0.4127180576324463
21;1;1;4.913020112195721;0.29234021434011837;0.6066827774047852;0.6192588210105896;0.6722797155380249;0.670995831489563;0.07494600862264633;0.3692837953567505;-0.3114762008190155;0.24436156451702118
21;1;2;1.975577323458043;0.10117555756207697;0.6066827774047852;0.6192588210105896;0.6722797155380249;0.670995831489563;0.02759704366326332;0.37232404947280884;-0.13608357310295105;0.4083681106567383
22;1;1;4.988426388260322;0.29611924323927497;0.6008453965187073;0.619490921497345;0.6690271496772766;0.668736457824707;0.07697673887014389;0.37433522939682007;-0.30873367190361023;0.2467823177576065
22;1;2;2.099242482448047;0.1018560253083205;0.6008453965187073;0.619490921497345;0.6690271496772766;0.668736457824707;0.020494161173701286;0.38259491324424744;-0.13906270265579224;0.4041549861431122
23;1;1;5.077701451818989;0.2998466109422395;0.6008453965187073;0.6202958822250366;0.6658816337585449;0.6665608286857605;0.07916516065597534;0.3798085153102875;-0.3060978949069977;0.24911463260650635
23;1;2;2.217263228512281;0.10254617703185875;0.6008453965187073;0.6202958822250366;0.6658816337585449;0.6665608286857605;0.013424810953438282;0.3931315541267395;-0.14156775176525116;0.4006122946739197
24;1;1;5.150737765287715;0.3050687702114203;0.6012479662895203;0.6198662519454956;0.662848949432373;0.6644989252090454;0.08148790895938873;0.38564178347587585;-0.30368590354919434;0.2512510120868683
24;1;2;2.3283489227606964;0.10317170536182907;0.6012479662895203;0.6198662519454956;0.662848949432373;0.6644989252090454;0.006420254707336426;0.40384650230407715;-0.1432674378156662;0.3982085585594177
25;1;1;5.209375403468023;0.30881789690456074;0.6012479662895203;0.6205873489379883;0.6599688529968262;0.6625470519065857;0.08392339199781418;0.39176812767982483;-0.3016185760498047;0.2530811131000519
25;1;2;2.431321949161025;0.10377036111578608;0.6012479662895203;0.6205873489379883;0.6599688529968262;0.6625470519065857;-0.0004900991916656494;0.4146551787853241;-0.1438884139060974;0.3973304033279419
26;1;1;5.277676055489497;0.3131280880368692;0.5962157845497131;0.6204218864440918;0.6572644114494324;0.6606820225715637;0.08644364029169083;0.3981218934059143;-0.30001282691955566;0.254501074552536
