epoch;rand_init;layer;I(X,T);I(Y,T);accuracy
0;1;1;0.6750620255340252;0.10294494453026815;0.521232008934021
0;1;2;0.009841487756778733;2.9786239994944452e-05;0.521232008934021
1;1;1;0.674106826174456;0.10273750938352633;0.5223679542541504
1;1;2;0.009706169376987095;3.092021258255251e-05;0.5223679542541504
2;1;1;0.672321485280615;0.10236611487772196;0.5245760083198547
2;1;2;0.009459203277997652;3.436610131912765e-05;0.5245760083198547
3;1;1;0.6698229051889983;0.10190709415560129;0.527720034122467
3;1;2;0.009127124707549061;4.232096840461885e-05;0.527720034122467
4;1;1;0.6666989526435989;0.10144079334281075;0.5324679613113403
4;1;2;0.008736682393871487;5.788743820378528e-05;0.5324679613113403
5;1;1;0.6631751253765508;0.10112127640616686;0.538424015045166
5;1;2;0.00831631777605324;8.481257889281224e-05;0.538424015045166
6;1;1;0.6596468795071448;0.10122326516752533;0.5459799766540527
6;1;2;0.007892595814912973;0.00012693087974913198;0.5459799766540527
7;1;1;0.6563386763597565;0.10187913006240956;0.5556079745292664
7;1;2;0.007476598559800429;0.0001858516881176886;0.5556079745292664
8;1;1;0.6533094365121217;0.1031995937350696;0.5674359798431396
8;1;2;0.007072261569874172;0.00026193384769390704;0.5674359798431396
9;1;1;0.6516281108615649;0.10567869415774833;0.5815439820289612
9;1;2;0.00675700999665807;0.0003662927067682453;0.5815439820289612
10;1;1;0.6518879304734506;0.10930341084082507;0.5968440771102905
10;1;2;0.006582907533541071;0.0005054825733998847;0.5968440771102905
11;1;1;0.6544842051805384;0.11426076160706211;0.6117160320281982
11;1;2;0.006572149962738472;0.0006895169835796633;0.6117160320281982
12;1;1;0.6596819547725623;0.120439217331612;0.626039981842041
12;1;2;0.00675190665911618;0.0009273818043791238;0.626039981842041
13;1;1;0.6674496329990856;0.12750968460216638;0.6399359703063965
13;1;2;0.0071364501570996275;0.0012239502299979943;0.6399359703063965
14;1;1;0.6776400484390255;0.13529897936386215;0.6536879539489746
14;1;2;0.007746530962136511;0.001589807156406442;0.6536879539489746
15;1;1;0.6898696323214599;0.14368096321233415;0.6661839485168457
15;1;2;0.008586637036048117;0.0020404321133691283;0.6661839485168457
16;1;1;0.7037169639984944;0.15207704353162743;0.6792959570884705
16;1;2;0.009672902462713129;0.0025730039025397833;0.6792959570884705
17;1;1;0.7185753154599608;0.16013294352444873;0.6934880018234253
17;1;2;0.011016468834994075;0.003189100954388513;0.6934880018234253
18;1;1;0.7340208558244781;0.16788200169652656;0.7053799629211426
18;1;2;0.012641837940590595;0.003908650660368274;0.7053799629211426
19;1;1;0.7495789673146556;0.17515047938031492;0.7153359651565552
19;1;2;0.014557196034424624;0.004730644180771071;0.7153359651565552
20;1;1;0.7648191693565929;0.18193751316463658;0.723143994808197
20;1;2;0.01675338268527149;0.005664969354596927;0.723143994808197
21;1;1;0.7793578174274272;0.1883103672093589;0.7309039831161499
21;1;2;0.01921511167683221;0.006724008450845753;0.7309039831161499
22;1;1;0.7927812402101138;0.1943340934627984;0.73990797996521
22;1;2;0.02191447103184263;0.007930497542943504;0.73990797996521
23;1;1;0.805006807036226;0.20006849875951005;0.7486159801483154
23;1;2;0.02484700369687287;0.00930394675147328;0.7486159801483154
24;1;1;0.8159528448628945;0.20556495975102695;0.7572240233421326
24;1;2;0.02799487470123685;0.010862720096993295;0.7572240233421326
25;1;1;0.8255796999597678;0.21088064392715733;0.7647240161895752
25;1;2;0.03133406595895405;0.012632489955067605;0.7647240161895752
26;1;1;0.8340036885617996;0.2160804788782098;0.7718999981880188
26;1;2;0.03484966296269176;0.014638985489425549;0.7718999981880188
27;1;1;0.8414680153876208;0.2212148146458972;0.7791320085525513
27;1;2;0.03853561503474845;0.016898212717805228;0.7791320085525513
28;1;1;0.8482285428472878;0.2263359371836442;0.7865560054779053
28;1;2;0.04238701208035511;0.019428329165474656;0.7865560054779053
29;1;1;0.8545418690377966;0.23148569244747286;0.7935400009155273
29;1;2;0.04639574034579086;0.02224007038807696;0.7935400009155273
30;1;1;0.8607435582815768;0.23670631603369774;0.8008999824523926
30;1;2;0.050589801308545734;0.025351849793168624;0.8008999824523926
31;1;1;0.8669636028016585;0.24198753667489026;0.808568000793457
31;1;2;0.054963527910483645;0.028769704030221943;0.808568000793457
32;1;1;0.8733154728566399;0.24729231777829153;0.8157520294189453
32;1;2;0.05949681493956804;0.0324741702781397;0.8157520294189453
33;1;1;0.8799282156337407;0.252602135656427;0.8226439952850342
33;1;2;0.06418468243764863;0.03645223320188995;0.8226439952850342
34;1;1;0.8868765291033531;0.25792462688040807;0.8295040130615234
34;1;2;0.06901330337818656;0.040712250123567495;0.8295040130615234
35;1;1;0.8941136993432739;0.26322648185005804;0.8366760015487671
35;1;2;0.07392553665702328;0.04522994039599193;0.8366760015487671
36;1;1;0.9017219900906879;0.26856260332088233;0.8438799977302551
36;1;2;0.07891038241954362;0.0500063934377617;0.8438799977302551
37;1;1;0.9096799172161187;0.27394053307212207;0.8507159948348999
37;1;2;0.08389790002025022;0.05501009010092783;0.8507159948348999
38;1;1;0.9180222425175373;0.27936777894188847;0.8575839996337891
38;1;2;0.08886083231340347;0.060208912239013035;0.8575839996337891
39;1;1;0.9268273385657313;0.28488392979479293;0.8646680116653442
39;1;2;0.09378107739819086;0.06560225923013618;0.8646680116653442
40;1;1;0.9362973366252536;0.29051905316680227;0.8714439868927002
40;1;2;0.09862949948817912;0.07110306829357116;0.8714439868927002
41;1;1;0.9465885121295994;0.29631350307939197;0.8776919841766357
41;1;2;0.10342992137851681;0.07667957549634363;0.8776919841766357
42;1;1;0.957856551462541;0.30233557009507717;0.8836959600448608
42;1;2;0.10820734636207385;0.08233166371584155;0.8836959600448608
43;1;1;0.970174809623443;0.30860097412823073;0.8892519474029541
43;1;2;0.1129465992885601;0.08799216338636695;0.8892519474029541
44;1;1;0.9836007316829383;0.3151309975764889;0.8941919803619385
44;1;2;0.11763566960779848;0.0936140120677389;0.8941919803619385
45;1;1;0.9982412588967868;0.3219948337668539;0.8983839750289917
45;1;2;0.12225099866084754;0.09917386411346252;0.8983839750289917
46;1;1;1.01405347794058;0.3292248093931951;0.9020040035247803
46;1;2;0.1267701786514528;0.10466305272435106;0.9020040035247803
47;1;1;1.0309822522843186;0.3368471301348075;0.9048519730567932
47;1;2;0.13117821526966011;0.11009695436049394;0.9048519730567932
48;1;1;1.048732020287356;0.34480367662265543;0.9071840047836304
48;1;2;0.1354417826922374;0.11545667253727232;0.9071840047836304
49;1;1;1.0671545775977282;0.3530613255043633;0.90938401222229
