epoch;rand_init;layer;I(X,T);I(Y,T);accuracy
0;1;1;8.16225795337198;0.8753417353051702;0.4317319989204407
0;1;2;1.0801909212091783;0.15133143329907384;0.4317319989204407
1;1;1;8.159252863442259;0.8742997013074749;0.4321439862251282
1;1;2;1.0474950749851422;0.14576275429869767;0.4321439862251282
2;1;1;8.153846802509339;0.8723390109261331;0.4328719973564148
2;1;2;0.984623640651006;0.1345354929827085;0.4328719973564148
3;1;1;8.146770679046018;0.869595623199551;0.4339680075645447
3;1;2;0.8932577558204846;0.11706858276780707;0.4339680075645447
4;1;1;8.138808643439688;0.8662271504794923;0.43557801842689514
4;1;2;0.7748050505117234;0.0928768923854868;0.43557801842689514
5;1;1;8.131094560410759;0.8624249317605326;0.4379960000514984
5;1;2;0.6322282375623605;0.06321211004680016;0.4379960000514984
6;1;1;8.124844195507027;0.8584228747300173;0.44301003217697144
6;1;2;0.4742577543225819;0.033317215748281725;0.44301003217697144
7;1;1;8.119414245255847;0.8544841930865594;0.45913398265838623
7;1;2;0.3206975357448769;0.011705227283114183;0.45913398265838623
8;1;1;8.116174068273526;0.8508797937569774;0.5171899795532227
8;1;2;0.20264581580635976;0.004283686161313582;0.5171899795532227
9;1;1;8.115313516379064;0.8478744492272376;0.6155860424041748
9;1;2;0.14953809452260547;0.010525428774464274;0.6155860424041748
10;1;1;8.116357957484343;0.8456955264806432;0.7119640111923218
10;1;2;0.17260239439693947;0.026566096755185953;0.7119640111923218
11;1;1;8.11944806151931;0.8445451238137665;0.7603800296783447
11;1;2;0.26285842011001215;0.049342360903299465;0.7603800296783447
12;1;1;8.124104628348952;0.844675730198297;0.7557740211486816
12;1;2;0.39539786673112154;0.0755269897789681;0.7557740211486816
13;1;1;8.129328415735884;0.8461431370805741;0.7343940138816833
13;1;2;0.5442083334521852;0.10067761435244371;0.7343940138816833
14;1;1;8.13591017802192;0.8490952176400768;0.7123119831085205
14;1;2;0.6947392845770324;0.12240974787708048;0.7123119831085205
15;1;1;8.143106195554942;0.8535140142016715;0.69746994972229
