epoch;rand_init;layer;I(X,T);I(Y,T);accuracy
0;1;1;9.936707516406365;0.9998725294697195;0.400628000497818
0;1;2;4.051858909827484;0.26615083488382396;0.400628000497818
1;1;1;9.936215911787421;0.9994749824619831;0.40510398149490356
1;1;2;3.9900531213692236;0.2692846532478228;0.40510398149490356
2;1;1;9.936941697676282;0.9994570749990004;0.4137279987335205
2;1;2;3.86048552716529;0.2749333872019939;0.4137279987335205
3;1;1;9.926989862411652;0.9994461035168101;0.42793601751327515
3;1;2;3.6454024672877505;0.28299697079919284;0.42793601751327515
4;1;1;9.924132452571975;0.9998311795906787;0.45485198497772217
4;1;2;3.342551272603524;0.25854622309827846;0.45485198497772217
5;1;1;9.914584009781393;0.9998438097441849;0.5216859579086304
5;1;2;3.027479941411741;0.19853200718279673;0.5216859579086304
6;1;1;9.905522071145349;0.9998378086988566;0.692978024482727
6;1;2;2.7514390068236203;0.20466790017190384;0.692978024482727
7;1;1;9.895688272341765;0.9998314778544568;0.7942060232162476
7;1;2;2.8565090447753114;0.3296695632824811;0.7942060232162476
8;1;1;9.89607363934109;0.9998249619046078;0.8205440044403076
8;1;2;2.9706591694258737;0.3378521551785916;0.8205440044403076
9;1;1;9.902443079978553;0.9998184513003991;0.812067985534668
9;1;2;3.11076777302158;0.35172027903821856;0.812067985534668
10;1;1;9.904861932624442;0.9998121726215601;0.7908719778060913
10;1;2;3.284229777258;0.34132941591583155;0.7908719778060913
11;1;1;9.911837758467179;0.9998061792491342;0.7700519561767578
11;1;2;3.4531626514617564;0.3467351821740916;0.7700519561767578
12;1;1;9.918388593386872;0.999800706941933;0.7556020021438599
12;1;2;3.6173813354251063;0.3623766009320484;0.7556020021438599
13;1;1;9.921515118818967;0.9997958178715081;0.7426519393920898
13;1;2;3.72986248717897;0.35005259991753945;0.7426519393920898
14;1;1;9.92139577860187;0.9997915630308114;0.7357540130615234
14;1;2;3.8212726989272205;0.3349157633362516;0.7357540130615234
15;1;1;9.924854760739578;0.9997880378560495;0.7366759777069092
15;1;2;3.8980708523286705;0.35368590379056286;0.7366759777069092
16;1;1;9.9312346701305;0.9997852752961478;0.7397960424423218
16;1;2;3.958598756118594;0.3296250576840656;0.7397960424423218
17;1;1;9.933226862605053;0.9997832510423237;0.7396360635757446
17;1;2;4.07595666651331;0.3537573854094713;0.7396360635757446
18;1;1;9.935622132305298;0.9997819637557015;0.7254159450531006
18;1;2;4.285131748432315;0.35293287803190054;0.7254159450531006
19;1;1;9.937687795479036;0.9997814780763008;0.7073000073432922
19;1;2;4.518751924225896;0.3735618179425284;0.7073000073432922
20;1;1;9.940571439050004;0.9997817288189879;0.6916160583496094
20;1;2;4.75009535829232;0.39610223707062353;0.6916160583496094
21;1;1;9.940428669472176;0.9997827190340942;0.6800079941749573
21;1;2;4.952929617251771;0.41078077120227263;0.6800079941749573
22;1;1;9.94305459505874;0.9997845316185945;0.6728479862213135
22;1;2;5.121781920048258;0.41344973309470845;0.6728479862213135
23;1;1;9.944147321818924;0.999787150969297;0.6684640049934387
23;1;2;5.269466036073371;0.4115832051535726;0.6684640049934387
24;1;1;9.945627840153023;0.9997905680685406;0.6663340330123901
24;1;2;5.395181197027643;0.4119085875185835;0.6663340330123901
25;1;1;9.946145398127612;0.9997948245662869;0.6671680212020874
25;1;2;5.5156672542099034;0.42256170253840253;0.6671680212020874
26;1;1;9.947199781496622;0.9998000290779032;0.6690800189971924
26;1;2;5.620542053699728;0.4391733588991453;0.6690800189971924
27;1;1;9.948092140493856;0.9998062542119115;0.6726359724998474
27;1;2;5.704822472646855;0.44340357020974785;0.6726359724998474
28;1;1;9.948357818305922;0.9998136090363587;0.6773419976234436
28;1;2;5.768105262961738;0.44396842868709996;0.6773419976234436
29;1;1;9.94808626874967;0.9998221691314058;0.6831560134887695
29;1;2;5.833057095984744;0.4509462715904693;0.6831560134887695
30;1;1;9.948165760143624;0.9998320583453761;0.6894960403442383
30;1;2;5.871041583405988;0.4429281853250604;0.6894960403442383
31;1;1;9.947735824235416;0.9998433264622335;0.697227954864502
31;1;2;5.918831261253715;0.4442566273372872;0.697227954864502
32;1;1;9.947167800999665;0.9998559448669937;0.7045400142669678
32;1;2;5.950174206968304;0.4421884896899382;0.7045400142669678
33;1;1;9.947110529648931;0.999869834224171;0.7130520343780518
